Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,8,5,10,6,10,10,4,53,22512.0,3.0,NO,50.0,YES,NO,75.0
SBI General Insurance Company Ltd.,Arogya Premier,6,8,10,6,10,10,3,53,33836.0,4.0,NO,50.0,YES,NO,71.0
Iffco Tokio General,Family Health Protector,7,8,10,6,3,10,9,53,27203.0,4.0,NO,50.0,NO,NO,93.0
Liberty General Insurance Company Limited,Health Connect Basic,7,8,10,8,3,10,7,53,28069.0,4.0,NO,100.0,NO,NO,84.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,8,8,10,8,3,10,5,52,23408.0,4.0,NO,100.0,NO,NO,77.0
Tata AIG,Tata AIG MediCare Premier,6,3,10,8,10,10,5,52,31990.0,2.0,NO,100.0,YES,NO,79.0
Cholamandalam MS General Insurance Company Limited,Healthline Privilege Plan,3,8,10,6,10,10,5,52,71830.0,4.0,NO,50.0,YES,NO,77.0
Future Generali India Insurance Company Ltd.,Health Suraksha,6,8,10,6,3,10,8,51,35250.0,4.0,NO,50.0,NO,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,4,3,10,6,10,10,8,51,44360.0,2.0,NO,50.0,YES,NO,89.0
Max Bupa Health Insurance,GoActive,5,5,10,3,10,10,8,51,38326.0,3.0,NO,0.0,YES,NO,90.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,8,10,6,3,10,5,50,24240.0,4.0,NO,50.0,NO,NO,77.0
Star Health Insurance,Comprehensive Insurance,7,5,10,8,3,10,6,49,27754.0,3.0,SINGLE PRIVATE,100.0,NO,NO,83.0
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom Plan,5,8,10,6,3,10,5,47,39099.0,4.0,NO,50.0,NO,NO,77.0
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,6,3,10,7,47,12394.0,4.0,1% SI,50.0,NO,NO,84.0
Cholamandalam MS General Insurance Company Limited,Healthline -Value Plan,6,8,10,4,3,10,5,46,32876.0,4.0,NO,25.0,NO,NO,77.0
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,8,45,62394.0,2.0,NO,100.0,NO,NO,90.0
Max Bupa Health Insurance,Heartbeat (Gold plan Family First),3,3,10,8,3,10,8,45,52801.0,2.0,NO,100.0,NO,NO,90.0
United India Insurance company,Family Medicare,9,8,3,3,3,10,8,44,15272.0,4.0,1% SI,0.0,NO,NO,89.0
The New India Assurance Company,Family Floater Mediclaim,9,8,3,3,3,10,8,44,17284.0,4.0,1% SI,0.0,NO,NO,87.0
United India Insurance company,Family Medicare 2014,8,8,3,3,3,10,8,43,23541.0,4.0,1% SI,0.0,NO,NO,89.0
The Oriental Insurance Company,Happy Family Floater-Gold,6,8,3,3,10,10,3,43,30578.0,4.0,1% SI,0.0,YES,NO,72.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39,21812.0,2.0,0.5% SI,25.0,NO,NO,89.0
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Superior Plan,4,8,3,6,3,10,5,39,42709.0,4.0,1% SI,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Advanced Plan,3,8,3,6,3,10,5,38,48812.0,4.0,1% SI,50.0,NO,NO,77.0
National Insurance Company,Parivar Mediclaim Policy,7,8,3,3,3,10,3,37,27423.0,4.0,1% SI,0.0,NO,NO,69.0
National Insurance Company,Parivar Mediclaim Plus Policy- Plan A,6,5,3,3,3,10,3,33,32536.0,3.0,1% SI,0.0,NO,NO,69.0
