Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,8,10,5,3,10,5,49,28652.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,7,8,10,5,3,10,5,48,30995.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline - Enrich Plan,3,8,10,8,3,10,5,47,49518.0,4.0,NO,100.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,6,8,10,5,3,10,5,47,35577.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,7,8,10,4,3,10,5,47,31368.0,4.0,NO,25.0,NO,NO,77.0
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,5,3,10,7,46,17672.0,4.0,0.5% SI,50.0,NO,NO,84.0
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46,64782.0,2.0,NO,100.0,NO,NO,90.0
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,5,3,10,5,44,54653.0,4.0,NO,50.0,NO,NO,77.0
The New India Assurance Company,Mediclaim Policy,7,8,3,3,3,10,8,42,31169.0,4.0,1% SI,0.0,NO,NO,87.0
United India Insurance Company,Mediclaim Platinum,6,8,3,3,3,10,8,41,38597.0,4.0,1% SI,0.0,NO,NO,89.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39,25460.0,2.0,1% SI,25.0,NO,NO,89.0
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,3,8,3,5,3,10,5,37,49938.0,4.0,1% SI,50.0,NO,NO,77.0
Star Health Insurance,Senior Citizen Red Carpet Health Insurance Policy,8,3,3,3,3,10,6,36,26550.0,1.0,1% SI,0.0,NO,NO,83.0
The Oriental Insurance Company,Mediclaim Policy (individual),6,8,3,3,3,10,3,36,38109.0,4.0,1% SI,0.0,NO,NO,72.0
National Insurance Company,Mediclaim Plus Policy-Plan A,3,6,3,5,3,10,3,33,55305.0,3.0,1% SI,50.0,NO,NO,69.0
