Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,8,10,8,10,10,5,55,31663.0,4.0,NO,100.0,YES,NO,77.0
ManipalCigna Health Insurance Pvt Ltd,ProHealth Select B,8,8,3,8,10,10,8,55,15659.0,4.0,2% SI,100.0,YES,NO,87.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,5,10,8,10,10,5,54,22404.0,3.0,NO,100.0,YES,NO,77.0
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,9,5,10,6,10,10,4,54,12053.0,3.0,NO,50.0,YES,NO,75.0
Liberty General Insurance Company Limited,Health Connect Supreme,6,3,10,8,10,10,7,54,24362.0,2.0,NO,100.0,YES,NO,84.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),7,3,10,6,10,10,8,54,18497.0,2.0,NO,50.0,YES,NO,88.0
Bharti AXA,Smart Super Health Insurance- Value,7,8,10,3,10,10,5,53,17525.0,4.0,NO,0.0,YES,NO,79.0
Iffco Tokio General,Family Health Protector,7,8,10,6,3,10,9,53,18135.0,4.0,NO,50.0,NO,NO,93.0
Future Generali India Insurance Company Ltd.,Health Suraksha,7,8,10,6,3,10,9,53,18189.0,4.0,NO,50.0,NO,NO,90.0
Liberty General Insurance Company Limited,Health Connect Basic,7,8,10,8,3,10,7,53,20121.0,4.0,NO,100.0,NO,NO,84.0
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,6,10,10,5,52,53894.0,4.0,NO,50.0,YES,NO,77.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,7,8,10,8,3,10,5,51,17648.0,4.0,NO,100.0,NO,NO,77.0
Max Bupa Health Insurance,GoActive,4,5,10,3,10,10,9,51,30432.0,3.0,NO,0.0,YES,NO,90.0
Tata AIG,Tata AIG MediCare Premier,5,3,10,8,10,10,5,51,26324.0,2.0,NO,100.0,YES,NO,79.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,3,10,6,10,10,8,50,33459.0,2.0,NO,50.0,YES,NO,89.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,7,8,10,6,3,10,5,49,19654.0,4.0,NO,50.0,NO,NO,77.0
Star Health Insurance,Comprehensive Insurance,7,5,10,8,3,10,6,49,19364.0,3.0,SINGLE PRIVATE,100.0,NO,NO,83.0
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,7,8,10,5,3,10,5,48,20696.0,4.0,NO,25.0,NO,NO,77.0
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,6,3,10,7,47,9442.0,4.0,0.6% SI,50.0,NO,NO,84.0
Cholamandalam MS General Insurance Company Limited,Healthline - Freedom Plan,5,8,10,6,3,10,5,47,24828.0,4.0,NO,50.0,NO,NO,77.0
Bharti AXA,Smart Health Insurance Plan,7,8,10,3,3,10,5,46,19481.0,4.0,NO,0.0,NO,NO,79.0
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46,39853.0,2.0,NO,100.0,NO,NO,90.0
United India Insurance company,Family Medicare,10,8,3,3,3,10,8,45,9545.0,4.0,1% SI,0.0,NO,NO,89.0
The Oriental Insurance Company,Happy Family Floater-Silver,7,8,3,3,10,10,3,44,17226.0,4.0,1% SI,0.0,YES,NO,72.0
The New India Assurance Company,Family Floater Mediclaim,9,8,3,3,3,10,8,44,12316.0,4.0,1% SI,0.0,NO,NO,87.0
Max Bupa Health Insurance,Heartbeat (Silver plan Family First),5,8,3,6,3,10,9,44,27122.0,4.0,0.6% SI,50.0,NO,NO,90.0
United India Insurance company,Family Medicare 2014,8,8,3,3,3,10,8,43,15423.0,4.0,1% SI,0.0,NO,NO,89.0
Cholamandalam MS General Insurance Company Limited,Family Healthline Insurance - Standard Plan,7,8,3,6,3,10,5,42,20499.0,4.0,0.6% SI,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Classic Health – Family Floater,7,8,3,6,3,10,5,42,17961.0,4.0,0.6% SI,50.0,NO,NO,77.0
The New India Assurance Company,Family Floater 2012,5,8,3,3,3,10,8,40,28010.0,4.0,1% SI,0.0,NO,NO,87.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,7,3,3,5,3,10,8,39,17425.0,2.0,1% SI,25.0,NO,NO,89.0
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,7,8,3,5,3,10,3,39,18892.0,4.0,1% SI,25.0,NO,NO,71.0
National Insurance Company,Parivar Mediclaim,9,8,3,3,3,10,3,39,11230.0,4.0,1% SI,0.0,NO,NO,69.0
National Insurance Company,Parivar Mediclaim Policy,7,8,3,3,3,10,3,37,17312.0,4.0,1% SI,0.0,NO,NO,69.0
