Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
Liberty General Insurance Company Limited,Health Connect Basic,7,8,10,8,3,10,7,53,16528.0,4.0,NO,100.0,NO,NO,84.0
Future Generali India Insurance Company Ltd.,Health Suraksha,7,8,10,6,3,10,9,53,15515.0,4.0,NO,50.0,NO,NO,90.0
Bharti AXA,Smart Super Health Insurance- Value,7,8,10,3,10,10,5,53,15448.0,4.0,NO,0.0,YES,NO,79.0
Iffco Tokio General,Family Health Protector,7,8,10,6,3,10,9,53,15650.0,4.0,NO,50.0,NO,NO,93.0
Max Bupa Health Insurance,GoActive,5,5,10,3,10,10,9,52,23123.0,3.0,NO,0.0,YES,NO,90.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,7,8,10,8,3,10,5,51,14873.0,4.0,NO,100.0,NO,NO,77.0
Tata AIG,Tata AIG MediCare Premier,5,3,10,8,10,10,5,51,23042.0,2.0,NO,100.0,YES,NO,79.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,3,3,10,6,10,10,8,50,27859.0,2.0,NO,50.0,YES,NO,89.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,7,8,10,6,3,10,5,49,15475.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,4,8,10,8,3,10,5,48,25226.0,4.0,NO,100.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom Plan,6,8,10,6,3,10,5,48,19606.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,7,8,10,5,3,10,5,48,16270.0,4.0,NO,25.0,NO,NO,77.0
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,6,3,10,7,47,7347.0,4.0,1% SI,50.0,NO,NO,84.0
Bharti AXA,Smart Health Insurance Plan,7,8,10,3,3,10,5,46,16431.0,4.0,NO,0.0,NO,NO,79.0
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46,34526.0,2.0,NO,100.0,NO,NO,90.0
The Oriental Insurance Company,Happy Family Floater-Silver,8,8,3,3,10,10,3,45,13737.0,4.0,1% SI,0.0,YES,NO,72.0
The New India Assurance Company,Asha Kiran ( Family floater plan for a family having one girl child),10,8,3,3,3,10,8,45,6915.0,4.0,1% SI,0.0,NO,NO,87.0
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,6,3,10,5,45,45952.0,4.0,NO,50.0,NO,NO,77.0
Max Bupa Health Insurance,Heartbeat (Silver plan Family First),5,8,3,6,3,10,9,44,23122.0,4.0,0.6% SI,50.0,NO,NO,90.0
The New India Assurance Company,Family Floater Mediclaim,9,8,3,3,3,10,8,44,10740.0,4.0,1% SI,0.0,NO,NO,87.0
United India Insurance company,Family Medicare,9,8,3,3,3,10,8,44,8378.0,4.0,1% SI,0.0,NO,NO,89.0
United India Insurance company,Family Medicare 2014,8,8,3,3,3,10,8,43,13901.0,4.0,1% SI,0.0,NO,NO,89.0
"
Cholamandalam MS General Insurance Company Limited",Classic Health – Family Floater,7,8,3,6,3,10,5,42,15941.0,4.0,0.6% SI,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Family Healthline - Standard Plan,7,8,3,6,3,10,5,42,15854.0,4.0,0.6% SI,50.0,NO,NO,77.0
National Insurance Company,Parivar Mediclaim,9,8,3,3,3,10,3,39,10022.0,4.0,1% SI,0.0,NO,NO,69.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,7,3,3,5,3,10,8,39,14557.0,2.0,1% SI,25.0,NO,NO,89.0
SBI General Insurance Company Ltd.,Health Insurance Plan - Retail,7,8,3,5,3,10,3,39,16159.0,4.0,1% SI,25.0,NO,NO,71.0
National Insurance Company,Parivar Mediclaim Policy,7,8,3,3,3,10,3,37,14280.0,4.0,1% SI,0.0,NO,NO,69.0
