Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Total Marks,prePremium,preExclusion Years,preSublimits,preNo Claim Bonus,prerestoration,preCo Pay,preClaims Settled
Liberty General Insurance Company Limited,Health Connect Basic,8,8,10,8,3,10,7,54,19847.0,4.0,NO,100.0,NO,NO,84.0
ICICI Lombard General Insurance Company,Complete Health Insurance(iHealth),8,3,10,5,10,10,8,54,19777.0,2.0,NO,50.0,YES,NO,88.0
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,6,5,10,8,10,10,5,54,27625.0,3.0,NO,100.0,YES,NO,77.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Premier - Elite,6,5,10,8,10,10,5,54,26262.0,3.0,NO,100.0,YES,NO,77.0
SBI General Insurance Company Ltd.,Arogya Premier,7,8,10,5,10,10,3,53,22036.0,4.0,NO,50.0,YES,NO,71.0
Tata AIG,Tata AIG MediCare Premier,7,3,10,8,10,10,5,53,24435.0,2.0,NO,100.0,YES,NO,79.0
Future Generali India Insurance Company Ltd.,Health Suraksha - Platinum,7,8,10,5,3,10,9,52,23363.0,4.0,NO,50.0,NO,NO,90.0
Universal Sompo GIC Ltd.,Complete Health Care Insurance Policy,8,5,10,5,10,10,4,52,21265.0,3.0,NO,50.0,YES,NO,75.0
Aditya Birla Health Insurance,Activ Health Platinum - Essential,8,8,10,8,3,10,5,52,21146.0,4.0,NO,100.0,NO,NO,77.0
Max Bupa Health Insurance,GoActive,4,5,10,3,10,10,9,51,32786.0,3.0,NO,0.0,YES,NO,90.0
Bajaj Allianz General Insurance Company Limited,Health Care Supreme,4,3,10,5,10,10,8,50,32129.0,2.0,NO,50.0,YES,NO,89.0
Star Health Insurance,Mediclassic Insurance Policy (Individual),8,8,3,4,10,10,6,49,18642.0,4.0,2% SI,25.0,YES,NO,83.0
Iffco Tokio General,Individual Health Protector,7,5,10,5,3,10,9,49,23672.0,3.0,NO,50.0,NO,NO,93.0
Kotak Mahindra General Insurance Company Limited,Kotak Health Care - Premium,8,8,10,5,3,10,5,49,19483.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Classic Health - Individual - Plan A,7,8,10,5,3,10,5,48,21590.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Freedom PLan,6,8,10,5,3,10,5,47,27563.0,4.0,NO,50.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Enrich Plan,3,8,10,8,3,10,5,47,37092.0,4.0,NO,100.0,NO,NO,77.0
Cholamandalam MS General Insurance Company Limited,Healthline- Value Plan,7,8,10,4,3,10,5,47,23904.0,4.0,NO,25.0,NO,NO,77.0
Liberty General Insurance Company Limited,Secure Health Connect,10,8,3,5,3,10,7,46,12582.0,4.0,1% SI,50.0,NO,NO,84.0
Max Bupa Health Insurance,Heartbeat (Gold plan),3,3,10,8,3,10,9,46,46768.0,2.0,NO,100.0,NO,NO,90.0
Cholamandalam MS General Insurance Company Limited,Healthline- Privilege Plan,3,8,10,5,3,10,5,44,45285.0,4.0,NO,50.0,NO,NO,77.0
The New India Assurance Company,Mediclaim Policy,8,8,3,3,3,10,8,43,20341.0,4.0,1% SI,0.0,NO,NO,87.0
United India Insurance Company,Mediclaim Platinum,5,8,3,3,3,10,8,40,30381.0,4.0,1% SI,0.0,NO,NO,89.0
Bajaj Allianz General Insurance Company Limited,Health Ensure,8,3,3,4,3,10,8,39,18309.0,2.0,1% SI,25.0,NO,NO,89.0
Cholamandalam MS General Insurance Company Limited,Individual Healthline Insurance-Advanced Plan,3,8,3,5,3,10,5,37,37093.0,4.0,1% SI,50.0,NO,NO,77.0
The Oriental Insurance Company,Mediclaim Policy (individual),6,8,3,3,3,10,3,36,26836.0,4.0,1% SI,0.0,NO,NO,72.0
National Insurance Company,Mediclaim Plus Policy-Plan A,3,5,3,5,3,10,3,32,37880.0,3.0,1% SI,50.0,NO,NO,69.0
