Name,Rating,Number,Type
LT Infrastructure Finance Ltd,AAA,97.98,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
Larsen  Toubro Ltd,AAA,206.78,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid"
Punjab National Bank,AA,135.87000000000003,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Vedanta Ltd,AA-,120.52000000000004,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
IndInfravit Trust,AAA,30.12,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration"
Jorbat Shillong Expressway Ltd,D,66.44,"Medium to Long Duration,Dynamic Bond"
Dewan Housing Finance Corporation Ltd,CARE D,0.0,"Medium to Long Duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Reliance Industries Ltd,AAA,887.6499999999995,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
LT Metro Rail Hyderabad Ltd,LAAA,17.34,"Short Duration,Medium to Long Duration,Medium Duration"
Embassy Office Parks Reit,AAA,144.76000000000002,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Indian Bank,AA+,45.72,"Short Duration,Medium to Long Duration,Low Duration,Medium Duration"
Tata Realty  Infrastructure Ltd,LAA,55.56000000000001,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Ahmedabad Maliya Tollway Pvt Ltd,LAA,17.060000000000002,"Ultra short duration,Medium to Long Duration"
Cholamandalam Investment  Finance Co Ltd,LAA+,156.0600000000001,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Aadhar Housing Finance Ltd,CARE AA,20.500000000000004,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Medium Duration"
Tata Power Co Ltd,AA,86.74000000000005,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
TMF Holdings Ltd,LAA-,31.840000000000007,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Indostar Capital Finance Private Ltd,CARE AA-,22.62,"Ultra short duration,Low Duration,Medium to Long Duration,Medium Duration"
Manappuram Finance Ltd,AA,67.48000000000003,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Muthoot Finance Pvt Ltd,LAA,258.60999999999984,"Medium to Long Duration,Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Piramal Capital and Housing Finance Ltd,CARE AA,73.60000000000001,"Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Shriram Transport Finance Co Ltd,AA+,186.6899999999999,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
DCB Bank Ltd,AA-,14.32,"Short Duration,Medium Duration"
Andhra Pradesh Capital Region Development Authority,A+,51.71,"Short Duration,Medium Duration,Dynamic Bond"
Sadbhav Infrastructure Project Ltd,CARE BBB+,27.8,"Low Duration,Medium Duration,Dynamic Bond"
Hinduja Leyland Finance Ltd,CARE AA-,43.66999999999998,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Edelweiss Rural  Corporate Services Ltd,AA-,88.93999999999998,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Renew Wind Energy Rajasthan One Pvt Ltd,CARE A+,19.6,"Short Duration,Low Duration,Medium Duration,Dynamic Bond"
U P Power Corporation Ltd,A+,136.76999999999998,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Star Health and Allied Insurance Co Ltd,A+,16.72,"Short Duration,Medium Duration,Dynamic Bond"
Svatantra Microfin Private Ltd,LA-,4.46,"Short Duration,Medium Duration"
Narmada Wind Energy Pvt Ltd,CARE A+,12.64,"Short Duration,Low Duration,Medium Duration,Dynamic Bond"
India Shelter Finance Corporation Ltd,LA,2.18,Medium Duration
Molagavalli Renewable Private Ltd,CARE A+,7.44,"Short Duration,Medium Duration,Dynamic Bond"
Rishanth Wholesale Trading Private Ltd,A+,15.54,"Short Duration,Medium Duration,Dynamic Bond"
Renew Power Ltd,CARE A+,20.74,"Ultra short duration,Short Duration,Medium Duration,Dynamic Bond"
Rivaaz Trade Ventures Pvt Ltd,BWR D,0.0,"Short Duration,Medium Duration,Dynamic Bond"
Nufuture Digital India Ltd,BWR D,0.0,"Short Duration,Medium Duration,Dynamic Bond"
Future Ideas Co Ltd,BWR D,0.0,"Short Duration,Medium Duration"
First Business Receivables Trust,AAA,63.399999999999935,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Ultratech Cement Ltd,AAA,81.85999999999997,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
Bharat Petroleum Corporation Ltd,AAA,91.45999999999998,"Short Duration,Low Duration,Liquid,Medium Duration"
Kotak Mahindra Prime Ltd,AAA,150.73999999999998,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
RentADevice Trust,LAAA,22.180000000000003,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
Sunny View Estates Pvt Ltd,LBBB,1.66,Medium Duration
Axis Finance Ltd,AAA,37.66000000000001,"Short Duration,Low Duration,Liquid,Medium Duration"
Indiabulls Housing Finance Ltd,CARE AA,40.42,"Low Duration,Medium Duration"
Sikka Ports  Terminals Ltd,AAA,143.90000000000003,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
JM Financial Asset Reconstruction Co,LAA-,30.460000000000004,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
Mahindra Rural Housing Finance Ltd,AA+,14.56,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
India Grid Trust,AAA,61.54000000000002,"Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Tata Motors Finance Solutions Pvt Ltd,CARE AA-,18.18,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
Pune Solapur Expressway Pvt Ltd,LAA-,11.88,"Ultra short duration,Medium Duration,Dynamic Bond"
Latur Renewable Pvt Ltd,AA,6.1,Medium Duration
Vadodara Bharuch Tollway Ltd,A,1.34,Medium Duration
Motilal Oswal Home Finance Ltd,AA-,10.54,"Ultra short duration,Short Duration,Medium Duration,Dynamic Bond"
Avanse Financial Services Ltd,CARE A+,9.36,"Ultra short duration,Medium Duration"
Tata International Ltd,CARE A,2.96,Medium Duration
Tata Motors Ltd,CARE AA-,18.75,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Elena Renewable Energy Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
Aarish Solar Power Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
Zuvan Energy Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
Shreyas Renewable Energy Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
SEI Mihir Energy Pvt Ltd,CARE AA,0.7400000000000001,"Low Duration,Medium Duration"
SEI Enerstar Renewable Energy Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
SEI Baskara Power Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
Aashman Energy Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
Divyesh Power Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
Pratyash Renewable Pvt Ltd,CARE AA,0.8800000000000001,"Low Duration,Medium Duration"
TVS Credit Services Ltd,AA-,7.38,"Liquid,Medium Duration"
Green Infra Wind Energy Ltd,AA,18.96,Medium Duration
Shriram City Union Finance Ltd,AA,17.52999999999999,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Tata Projects Ltd,AA,14.4,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
Inox Wind Infrastructure Services Ltd,AA,8.0,"Medium Duration,Dynamic Bond"
Inox Wind Ltd,AA,3.36,Medium Duration
Pipeline Infrastructure Private Ltd,AAA,22.169999999999995,"Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Tata Housing Development Company Ltd,CARE AA,24.02000000000001,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Copeland Jan 2020,AA,2.22,"Ultra short duration,Medium Duration"
National Housing Bank,AAA,82.5,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
Fedbank Financial Services Ltd,P1+,3.16,"Ultra short duration,Low Duration,Medium Duration"
Gera Development Pvt Ltd,CARE AA-,1.08,Medium Duration
Indian Oil Corporation Ltd,AAA,182.42,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Talwandi Sabo Power Limited,AA-,34.779999999999994,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
Shining Metal Trust,LAA,6.56,"Ultra short duration,Medium Duration"
G R Infraprojects Ltd,AA,9.28,"Ultra short duration,Medium Duration,Dynamic Bond"
Bharti Hexacom Ltd,AA,19.480000000000004,"Ultra short duration,Low Duration,Medium Duration,Dynamic Bond"
Nuvoco Vistas Corporation Ltd,AA,28.25,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
JK Cement Ltd,CARE AA,4.34,"Ultra short duration,Medium Duration"
Nirma Ltd,AA-,5.94,"Ultra short duration,Liquid,Medium Duration"
Oriental Nagpur Betul Highway Ltd,AAA,63.52,"Ultra short duration,Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Kogta Financial India Ltd,CARE A-,3.26,Medium Duration
PVR Ltd,AA,4.800000000000001,Medium Duration
Veritas Finance Pvt Ltd,CARE A-,2.76,Medium Duration
Godrej Properties Ltd,LAA,54.87999999999999,"Ultra short duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
EPL Ltd,CARE AA,5.48,"Ultra short duration,Medium Duration"
Birla Corporation Ltd,LAA,2.32,"Ultra short duration,Medium Duration"
PL Securitization Trust,BWR AAA,2.24,"Ultra short duration,Medium Duration"
JM Financial Products Pvt Ltd,LAA,36.32,"Ultra short duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Hindalco Industries Ltd,AA,27.8,"Ultra short duration,Short Duration,Medium Duration,Dynamic Bond"
Tata Power Renewable Energy Ltd,CARE AA,4.279999999999999,"Ultra short duration,Liquid,Medium Duration"
Bhopal Dhule Transmission Company Ltd,AAA,6.92,"Ultra short duration,Short Duration,Medium Duration,Dynamic Bond"
Amba River Coke Ltd,CARE AA-,13.7,"Ultra short duration,Medium Duration"
Dilip Buildcon Ltd,A,12.4,Medium Duration
India Infradebt Ltd,AAA,26.00000000000001,"Short Duration,Medium Duration,Dynamic Bond"
ONGC PetroAdditions Ltd,LAAA,26.279999999999998,"Short Duration,Low Duration,Liquid,Medium Duration"
Motherson Sumi Systems Ltd,INDAAA,46.000000000000014,"Short Duration,Low Duration,Medium Duration,Dynamic Bond"
Tata Teleservices Ltd,P1+,34.66000000000001,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration"
Bangalore Airport Hotel Ltd,AA+,7.8,Medium Duration
GMR Aero Technic Ltd,LAA,5.48,Medium Duration
Walwhan Renewable Energy Ltd,CARE AA,3.72,Medium Duration
Nayara Energy Ltd,CARE AA,9.0,"Ultra short duration,Low Duration,Medium Duration,Dynamic Bond"
GMR Aerospace Engineering Ltd,AA,3.14,Medium Duration
Oberoi Realty Ltd,CARE AA+,14.180000000000003,"Ultra short duration,Low Duration,Medium Duration,Dynamic Bond"
Godrej Industries Ltd,AA,64.85999999999999,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Jhajjar Power Ltd,AA+,7.640000000000001,"Ultra short duration,Medium Duration"
Bharti Telecom Ltd,AA+,44.88,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Motilal Oswal Financial Services Ltd,LAA,41.96,"Ultra short duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Aditya Birla Fashion and Retail Ltd,AA,12.56,"Short Duration,Low Duration,Liquid,Medium Duration"
KKR India Financial Services Pvt Ltd,AA,2.6100000000000003,"Ultra short duration,Short Duration,Low Duration,Medium Duration"
SP Jammu Udhampur Highway Ltd,LAA+,4.380000000000001,"Short Duration,Medium Duration"
IDFC First Bank Ltd,LAA,72.94000000000003,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Writers and Publishers Pvt Ltd,AA-,2.18,"Ultra short duration,Medium Duration"
Mahindra Integrated Township Ltd,AA-,1.4,Medium Duration
Tata Value Homes Ltd,CARE AA,3.62,"Ultra short duration,Medium Duration"
Patel KNR Heavy Infrastructures Ltd,CARE AA+,8.76,Medium Duration
Indusind Bank Ltd,AA,55.38,"Ultra short duration,Short Duration,Low Duration,Liquid,Medium Duration,Dynamic Bond"
Parry Sugars Refinery India Pvt Ltd,AA-,0.06,Medium Duration
Punjab  Sind Bank,LA-,15.98,"Short Duration,Low Duration,Medium Duration"
Indian Hotels Company Limited,CARE AA,0.32,"Ultra short duration,Medium Duration"
Steel Authority Of India Ltd,AA-,54.71999999999999,"Ultra short duration,Liquid,Medium Duration"
IOT Utkal Energy Services Ltd,AAA,3.66,"Short Duration,Medium Duration"
Yes Bank,LD,0.0,Medium Duration
ICICI Prudential Life Insurance Co Ltd,AAA,16.779999999999998,"Short Duration,Medium Duration"
Andhra Pradesh Expressway Ltd,INDAAA,6.7,Medium Duration
IIFL Home Finance Ltd,LAA,12.9,"Low Duration,Medium Duration"
HDFC Life Insurance Company Ltd,AAA,7.880000000000001,"Short Duration,Medium Duration"
HDFC Bank Ltd,AAA,26.8,"Short Duration,Low Duration,Dynamic Bond"
India Infrastructure Finance Co Ltd,AAA,0.38,Dynamic Bond
Renew Wind Energy Delhi Pvt Ltd,CARE A+,3.74,Dynamic Bond
Tata Motors Finance Ltd,P1+,65.98000000000005,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
Aditya Birla Housing Finance Ltd,LAAA,13.95,"Ultra short duration,Low Duration,Liquid,Dynamic Bond"
Adani Ports And Special Economic Zone Ltd,AA+,57.780000000000015,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
Bharat Oman Refinery Ltd,AA+,22.57,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
NIIF Infrastructure Finance Ltd,LAAA,6.09,"Low Duration,Dynamic Bond"
Jharkand Road Projects Implementation Co Ltd,CARE D,7.200000000000004,"Short Duration,Dynamic Bond"
Tata Capital Financial Services Ltd,LAAA,34.45000000000001,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
Tata Capital Housing Finance Ltd,AAA,38.2,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
Phoenix ARC Pvt Ltd,AA,4.220000000000001,"Ultra short duration,Low Duration,Dynamic Bond"
Au Small Finance Bank Ltd,AA-,29.4,"Ultra short duration,Low Duration,Dynamic Bond"
Jodhpur Wind Farms Private Ltd,AA,3.68,"Short Duration,Dynamic Bond"
Sansar Trust,LAAA,1.62,"Short Duration,Dynamic Bond"
EIDParry India Ltd,AA-,0.36,Dynamic Bond
Oil  Natural Gas Corporation Ltd,LAAA,41.98,"Short Duration,Liquid,Low Duration,Dynamic Bond"
Hazaribagh Ranchi Expressway Ltd,CARE D,18.8,Dynamic Bond
Kotak Mahindra Bank Ltd,P1+,24.860000000000003,"Ultra short duration,Short Duration,Dynamic Bond"
ICICI Securities Ltd,P1+,76.55999999999999,"Ultra short duration,Low Duration,Liquid,Dynamic Bond"
Kotak Mahindra Investments Ltd,P1+,56.02,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
LT Finance Ltd,CARE AAA,51.02000000000001,"Ultra short duration,Short Duration,Low Duration,Liquid,Dynamic Bond"
Chennai Petroleum Corporation Ltd,AAA,136.25999999999993,"Ultra short duration,Short Duration,Liquid,Dynamic Bond"
PNB Housing Finance Ltd,CARE AA,14.36,"Ultra short duration,Short Duration"
Aptus Value Housing Finance India Ltd,LA+,4.7,Short Duration
Vistaar Financial Services Pvt Ltd,LA-,2.6,Short Duration
FiveStar Business Finance Ltd,CARE A,3.96,"Short Duration,Low Duration"
Xander Finance Pvt Ltd,LA+,3.53,"Ultra short duration,Short Duration,Low Duration"
Clix Capital Services Pvt Ltd,CARE A+,29.51,"Ultra short duration,Short Duration,Low Duration"
Fullerton India Credit Co Ltd,AAA,17.599999999999994,"Ultra short duration,Short Duration,Liquid,Low Duration"
Mahindra  Mahindra Financial Services Ltd,INDAAA,61.72000000000001,"Ultra short duration,Short Duration,Liquid,Low Duration"
Hindustan Petroleum Corporation Ltd,AAA,83.85999999999999,"Ultra short duration,Short Duration,Liquid,Low Duration"
The Ramco Cements Ltd,LAA+,55.02,"Ultra short duration,Short Duration,Liquid,Low Duration"
Sundaram Finance Limited,LAAA,68.01999999999998,"Ultra short duration,Short Duration,Liquid,Low Duration"
Bajaj Housing Finance Ltd,AAA,62.02,"Ultra short duration,Short Duration,Liquid,Low Duration"
Hindustan Zinc Ltd,AAA,29.820000000000007,"Ultra short duration,Short Duration,Low Duration"
Aditya Birla Finance Ltd,LAAA,81.03999999999998,"Ultra short duration,Short Duration,Liquid,Low Duration"
Grasim Industries Limited,AAA,92.80000000000004,"Ultra short duration,Short Duration,Liquid,Low Duration"
Reliable Devices Trust,LAAA,20.24,"Ultra short duration,Short Duration,Low Duration"
Nabha Power Ltd,LAAA,38.22,"Ultra short duration,Short Duration,Liquid,Low Duration"
Mahindra  Mahindra Ltd,INDAAA,4.38,Short Duration
Sundaram Home Finance Ltd,LAA+,35.14,"Ultra short duration,Short Duration,Liquid,Low Duration"
Tata Capital Ltd,AAA,7.36,"Ultra short duration,Short Duration,Low Duration"
Shriram Housing Finance Ltd,LAA+,1.04,Short Duration
HDFC Credila Financial Services Private Limited,LAAA,1.66,"Short Duration,Liquid,Low Duration"
Fullerton India Home Finance Co Ltd,AAA,2.76,"Short Duration,Low Duration"
Tata Cleantech Capital Ltd,AAA,5.22,"Short Duration,Liquid,Low Duration"
John Deere Financial India Private Ltd,AAA,6.059999999999999,"Ultra short duration,Short Duration,Low Duration"
LT Housing Finance Ltd,AAA,24.5,"Ultra short duration,Short Duration,Liquid,Low Duration"
INOX Air Products Ltd,AA+,0.26,Short Duration
Muthoot Fincorp Ltd,AA+,3.46,"Short Duration,Low Duration"
Ess Kay Fincorp Pvt Ltd,LAA+,2.02,Short Duration
Swarna Tollway Private Ltd,AAA,1.88,Short Duration
Bharti Airtel Ltd,AA,14.36,"Ultra short duration,Short Duration,Liquid,Low Duration"
Torrent Power Ltd,AA,1.26,Short Duration
Daimler Financial Services India Private Ltd,AA+,7.88,"Ultra short duration,Short Duration,Low Duration"
Citicorp Finance India Ltd,AAA,1.54,"Short Duration,Low Duration"
Volkswagen Finance Pvt Ltd,INDAAA,0.78,"Short Duration,Low Duration"
HDFC Securities Ltd,P1+,59.14000000000001,"Ultra short duration,Short Duration,Liquid,Low Duration"
Energy Efficiency Services Ltd,CARE A+,13.52,Short Duration
RBL Bank Ltd,A1+,24.5,"Ultra short duration,Short Duration,Liquid,Low Duration"
Rainbow Devices Trust,LAAA,1.64,"Ultra short duration,Short Duration,Low Duration"
Can Fin Homes Ltd,A1+,24.260000000000005,"Ultra short duration,Short Duration,Liquid,Low Duration"
Hero Fincorp Ltd,P1+,34.62000000000001,"Ultra short duration,Short Duration,Liquid,Low Duration"
Air India Assets Holding Ltd,LAAA,3.86,"Short Duration,Low Duration"
SintexBAPL Ltd,BWR D,0.0,Short Duration
JM Financial Credit Solutions Ltd,LAA,22.92,"Ultra short duration,Low Duration"
Incred Financial Services Private Ltd,CARE A,6.12,Low Duration
IIFL Facilities Services Ltd,P1+,20.62,"Ultra short duration,Low Duration,Liquid"
Bahadur Chand Investments Pvt Ltd,LAA,28.480000000000004,"Ultra short duration,Low Duration"
Reliance Retail Ventures Ltd,P1+,78.75999999999999,"Ultra short duration,Low Duration,Liquid"
Mindspace Business Parks REIT,AAA,1.44,Low Duration
Piramal Enterprises Ltd,P1+,26.68,"Ultra short duration,Low Duration,Liquid"
Barclays Investments  Loans I Ltd,P1+,13.520000000000003,"Ultra short duration,Low Duration,Liquid"
MFL Securitisation Trust,AAA,0.82,Low Duration
Innovation Trust XXX,AA,0.28,Low Duration
Deutsche Investments India Pvt Ltd,P1+,17.14,"Ultra short duration,Low Duration,Liquid"
Network 18 Media  Invst Ltd,A1+,46.0,"Ultra short duration,Low Duration,Liquid"
Birla Group Holdings Private Ltd,A1+,55.760000000000005,"Ultra short duration,Low Duration,Liquid"
GIC Housing Finance Ltd,LAA+,6.14,"Ultra short duration,Low Duration,Liquid"
Pilani Investment  Industries Corporation Ltd,PR1+,3.18,"Low Duration,Liquid"
Infina Finance Pvt Ltd,P1+,36.3,"Ultra short duration,Low Duration,Liquid"
Ashok Leyland Ltd,A1+,2.56,"Ultra short duration,Low Duration"
IIFL Wealth Management Ltd,A1+,44.28,"Ultra short duration,Low Duration,Liquid"
JM Financial Services Pvt Ltd,A1+,18.0,"Ultra short duration,Low Duration,Liquid"
National Fertilizers Ltd,A1+,37.12,"Ultra short duration,Low Duration,Liquid"
Julius Baer Capital India Pvt Ltd,P1+,24.94,"Ultra short duration,Low Duration,Liquid"
Transport Corporation Of India Ltd,A1+,20.3,"Ultra short duration,Low Duration,Liquid"
Sun Pharmaceutical Industries Ltd,P1+,17.500000000000004,"Ultra short duration,Low Duration,Liquid"
Bharat Heavy Electricals Ltd,PR1+,11.42,"Low Duration,Liquid"
Tata Teleservices Maharashtra Ltd,P1+,20.3,"Ultra short duration,Low Duration,Liquid"
Federal Bank Ltd,PR1+,19.92,"Low Duration,Liquid"
TVS Motor Company Ltd,PR1+,3.2,"Ultra short duration,Low Duration"
UPL Ltd,PR1+,3.24,Ultra short duration
Kalpataru Power Transmission Ltd,P1+,1.42,"Ultra short duration,Liquid"
SBI Global Factors Ltd,P1+,8.139999999999999,Ultra short duration
Rashtriya Chemicals  Fertilizers Ltd,PR1+,0.76,Ultra short duration
Standard Chartered Investments and Loans India Ltd,A1+,15.859999999999998,"Ultra short duration,Liquid"
Gruh Finance Ltd,AA,0.94,Ultra short duration
