Company,Plan,Premium,Exclusion Years,Sublimits,No Claim Bonus,restoration,Co Pay,Claims Settled,Link to doc,Link to policy
Kotak Mahindra General Insurance,Kotak Health Premier - Edge,7818,3,NO,100,YES,NO,77,https://www.kotakgeneralinsurance.com/docs/default-source/default-document-library/kotak-health-premier-compare06f3a6d8ab7a60adacbfff0000d284de.pdf?sfvrsn=0,https://www.kotakgeneralinsurance.com/health-insurance/kotak-health-premier
Royal Sundaram General Insurance,Lifeline - Supreme,13299,3,NO,100,YES,NO,86,https://www.royalsundaram.in/html/files/lifeline-supreme-brochure.pdf,https://www.royalsundaram.in/health-insurance/lifeline/supreme
Kotak Mahindra General Insurance,Kotak Health Premier - Advantage,7322,3,NO,50,YES,NO,77,https://www.kotakgeneralinsurance.com/docs/default-source/default-document-library/kotak-health-premier-compare06f3a6d8ab7a60adacbfff0000d284de.pdf?sfvrsn=0,https://www.kotakgeneralinsurance.com/health-insurance/kotak-health-premier
HDFC Ergo Health Insurance,Health Wallet,19598,3,NO,100,YES,NO,92,,"https://www.hdfcergo.com/OnlineInsurance/AHealthOnline/HEHealth/HealthIndex/8gA_,KMRI81CzSdavRtc9D8hV,tijE1KSXFq3fymtFmnd_LBIM6BdJfTU914VD1,uKZf4yNCA5yXe43WV7Lt2w--?&utm_source=google_search&utm_medium=cpc&utm_campaign=YR_20_AN_HDFCERGO_CN_Health_Core_Apollo_Exact_Easy_Health_Wallet_OB_SALES_PK_COA_CP_VV_VGNONE&utm_content=health%20wallet&utm_term=MK_IN_AT_AWTEXT_AG_Core_Pure_Health_Wallet&placement_id_identifier=&ad_group_id_identifier=119538122824&device=c&location=1007745&gclid=Cj0KCQiA6t6ABhDMARIsAONIYyxJXS0EcgW1pvrVK-JnixqGw5STfYL9U2cDwGj-hCUVjQyX2G0Fmi4aAnDJEALw_wcB"
Reliance General Insurance,HealthGain - Plan A,12504,3,Single Private Room,100,YES,NO,93,,
Kotak Mahindra General Insurance,Kotak Health Care - Premium,6040,4,NO,50,NO,NO,77,,
Universal Sompo GIC,Complete Health Care Insurance Policy,10389,3,NO,50,YES,NO,75,,
Iffco Tokio General,Individual Health Protector,14854,3,NO,50,NO,NO,93,,
Bajaj Allianz General Insurance,Health Care Supreme,20835,2,NO,50,YES,NO,89,,
ManipalCigna Health Insurance,ProHealth Insurance (Accumulate Plan),17641,4,Single Private Room,100,YES,NO,87,,
Bajaj Allianz General Insurance,Health Ensure,11785,2,1% SI,25,NO,NO,89,,
Aditya Birla Health Insurance,Activ Assure - Diamond,11179,4,NO,50,YES,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Essential,12898,4,NO,100,NO,NO,77,,
Max Bupa Health Insurance,Heartbeat (Gold plan),26825,2,NO,100,NO,NO,90,,
Future Generali India Insurance,Health Suraksha - Gold,13217,4,NO,50,NO,NO,90,,
Star Health Insurance,Comprehensive Insurance,15399,3,NO,100,YES,NO,90,,
Max Bupa Health Insurance,Health Companion,15172,3,Single Private Room,100,YES,NO,83,,
Liberty General Insurance,Health Connect E-Connect,11886,4,NO,100,YES,NO,84,,
Liberty General Insurance,Health Connect Elite,14875,3,NO,100,YES,NO,84,,
Liberty General Insurance,Health Connect Basic,12695,4,NO,100,NO,NO,89,,
Max Bupa Health Insurance,GoActive,20650,3,NO,0,YES,NO,90,,
Cholamandalam MS General Insurance,Classic Health - Individual - Plan c,13736,4,Single Private Room,50,NO,NO,77,,
Aditya Birla Health Insurance,Activ Health Platinum - Enhanced,16670,3,NO,100,YES,NO,77,,
Cholamandalam MS General Insurance,Healthline- Value Plan,13128,4,NO,25,NO,NO,77,,
Liberty General Insurance,Health Connect Supreme,15579,2,NO,100,YES,NO,84,,
The New India Assurance,Mediclaim Policy,11847,4,1% SI,0,NO,NO,87,,
United India Insurance,Mediclaim Platinum,11122,4,1% SI,0,NO,NO,89,,
Liberty General Insurance,Secure Health Connect,7165,4,1% SI,50,NO,NO,84,,
Cholamandalam MS General Insurance,Healthline- Enrich Plan,19524,4,NO,100,YNO,NO,77,,
Universal Sompo GIC,Individual Health Insurance,7890,4,1% SI,30,NO,NO,75,,
Cholamandalam MS General Insurance,Healthline- Freedom PLan,15441,4,NO,50,NO,NO,77,,
Cholamandalam MS General Insurance,Healthline- Privilege Plan,28546,4,NO,50,NO,NO,77,,
SBI General Insurance,Health Insurance Plan - Retail,12573,4,1% SI,25,NO,NO,71,,
National Insurance,Mediclaim Policy,12705,4,1% SI,10,NO,NO,69,https://nationalinsurance.nic.co.in/sites/default/files/National%20Mediclaim%20Policy%20%28NMP%29-Modular%20Mod.pdf,
Star Health Insurance,Mediclassic Insurance Policy (Individual),13857,4,2% SI,25,YES,NO,83,,
The Oriental Insurance,Mediclaim Policy (individual),13400,4,1% SI,0,NO,NO,72,,
Cholamandalam MS General Insurance,Individual Healthline Insurance-Standard,15477,4,0.6% SI,50,NO,NO,77,,
National Insurance,Mediclaim Plus Policy-Plan A,19712,3,1% SI,50,NO,NO,69,,
